minute,ticker,instrument_token,open,high,low,close,volume
2020-01-01 09:15:00+05:30,NSEBANK,uf-n-1647516767046,32227.8,32295.8,32220.9,32292,0
2020-01-01 09:16:00+05:30,NSEBANK,uf-n-1647516767046,32296.35,32303.3,32283.95,32288.25,0
2020-01-01 09:17:00+05:30,NSEBANK,uf-n-1647516767046,32285.05,32290.85,32279.35,32282.95,0
2020-01-01 09:18:00+05:30,NSEBANK,uf-n-1647516767046,32280.2,32296.25,32270.7,32292.45,0
2020-01-01 09:19:00+05:30,NSEBANK,uf-n-1647516767046,32295.3,32312.05,32294.85,32298.65,0
2020-01-01 09:20:00+05:30,NSEBANK,uf-n-1647516767046,32300.8,32303.45,32288.15,32293.5,0
2020-01-01 09:21:00+05:30,NSEBANK,uf-n-1647516767046,32295,32299.45,32287.45,32289.45,0
2020-01-01 09:22:00+05:30,NSEBANK,uf-n-1647516767046,32293.45,32297.55,32286.2,32295.45,0
2020-01-01 09:23:00+05:30,NSEBANK,uf-n-1647516767046,32297.35,32314.3,32296.5,32314.3,0
2020-01-01 09:24:00+05:30,NSEBANK,uf-n-1647516767046,32316.35,32318.4,32302.5,32308.35,0
2020-01-01 09:25:00+05:30,NSEBANK,uf-n-1647516767046,32311.05,32313.65,32302.9,32311.7,0
2020-01-01 09:26:00+05:30,NSEBANK,uf-n-1647516767046,32313.4,32324.2,32313.3,32323,0
2020-01-01 09:27:00+05:30,NSEBANK,uf-n-1647516767046,32325.15,32325.3,32313.65,32317.35,0
2020-01-01 09:28:00+05:30,NSEBANK,uf-n-1647516767046,32318.45,32327.2,32315.35,32320.05,0
2020-01-01 09:29:00+05:30,NSEBANK,uf-n-1647516767046,32319.45,32339.25,32319.35,32336.65,0
2020-01-01 09:30:00+05:30,NSEBANK,uf-n-1647516767046,32337.05,32346.6,32335.95,32341.75,0
2020-01-01 09:31:00+05:30,NSEBANK,uf-n-1647516767046,32341.6,32348,32337.45,32337.45,0
2020-01-01 09:32:00+05:30,NSEBANK,uf-n-1647516767046,32338.4,32342.8,32334,32340.1,0
2020-01-01 09:33:00+05:30,NSEBANK,uf-n-1647516767046,32337.65,32339,32327.1,32330.95,0
2020-01-01 09:34:00+05:30,NSEBANK,uf-n-1647516767046,32327.8,32332.4,32317.95,32324.4,0
2020-01-01 09:35:00+05:30,NSEBANK,uf-n-1647516767046,32326.35,32329.3,32312.05,32313.4,0
2020-01-01 09:36:00+05:30,NSEBANK,uf-n-1647516767046,32313.25,32313.25,32288.7,32304.4,0
2020-01-01 09:37:00+05:30,NSEBANK,uf-n-1647516767046,32306.85,32306.85,32287.85,32291.55,0
2020-01-01 09:38:00+05:30,NSEBANK,uf-n-1647516767046,32292.65,32294.6,32284.35,32290.6,0
2020-01-01 09:39:00+05:30,NSEBANK,uf-n-1647516767046,32293.05,32294,32286.55,32290.85,0
2020-01-01 09:40:00+05:30,NSEBANK,uf-n-1647516767046,32289.7,32291.85,32279.85,32280.8,0
2020-01-01 09:41:00+05:30,NSEBANK,uf-n-1647516767046,32281.7,32281.7,32237.95,32259.9,0
2020-01-01 09:42:00+05:30,NSEBANK,uf-n-1647516767046,32256,32267.5,32256,32258.1,0
